Name,Manufacturer Name,Product Family Name,Product Name,Software Acquisition Method,GUID,Description,Link 1
JetBrains Toolbox,JetBrains,,Toolbox,Commercial-off-the-Shelf (COTS),7ea45651-1493-11ec-678f-005056bd83df,,https://www.jetbrains.com
Kofax Power PDF,Kofax,,Power PDF,Commercial-off-the-Shelf (COTS),ef39d263-685e-11ea-4383-005056bd33fb,"With Power PDF you get all the tools necessary to annotate, markup, secure and compress PDF plus additional features only available from Nuance for document conversion, search, connectivity and more.",https://www.kofax.com/
LogicMonitor LogicMonitor SaaS (SaaS),LogicMonitor,,LogicMonitor,Commercial-off-the-Shelf (COTS),b2d29ca0-87f0-11eb-678f-005056bd83df,"LogicMonitor provides extensive visibility into hybrid infrastructure environments. With 2000+ monitoring integrations built-in, we help eliminate tool sprawl and context switching with a unified view of infrastructure health and performance. Monitor resource utilization, network usage and performance, and other critical infrastructure metrics.",https://www.logicmonitor.com/
LogMeIn Rescue,LogMeIn,,Rescue,Commercial-off-the-Shelf (COTS),b6f141b0-2870-11e4-74c2-005056975ac8,Remotely access PC/Mac device over the web or from mobile device.,https://www.logmein.com/
Majesco Policy for L&A and Group,Majesco,,Policy for L&A and Group,Commercial-off-the-Shelf (COTS),bcd6dcd0-15e6-11e9-4383-005056bd33fb,,https://www.majesco.com/
Microsoft .NET Framework,Microsoft,.NET,Framework,Commercial-off-the-Shelf (COTS),5a653e40-7394-11ea-4383-005056bd33fb,,https://www.microsoft.com/
Microsoft Access,Microsoft,Office,Access,Commercial-off-the-Shelf (COTS),fda5ba20-a088-11e3-74c2-005056975ac8,Database application included with Microsoft Office,https://www.microsoft.com/
Microsoft API Management,Microsoft,Azure,API Management,Commercial-off-the-Shelf (COTS),92a3fb10-a406-11e9-4383-005056bd33fb,,https://azure.microsoft.com/en-us/services/api-management/
Microsoft Azure Data Studio,Microsoft,Azure,Data Studio,Commercial-off-the-Shelf (COTS),f6cd0a60-1a19-11ec-678f-005056bd83df,"Azure Data Studio is a cross-platform database tool for data professionals who use on-premises and cloud data platforms on Windows, macOS, and Linux.  Azure Data Studio offers a modern editor experience with IntelliSense, code snippets, source control integration, and an integrated terminal. It's engineered with the data platform user in mind, with the built-in charting of query result sets and customizable dashboards.",https://azure.microsoft.com/
Microsoft Azure DevOps Services,Microsoft,Azure,DevOps Services,Commercial-off-the-Shelf (COTS),20b556d0-7aa0-11e6-2a04-005056976851,Software development and team collaboration portal.,https://azure.microsoft.com/en-us/services/devops/
Microsoft Azure Pipelines,Microsoft,Azure,Pipelines,Commercial-off-the-Shelf (COTS),2b0db520-9718-11eb-678f-005056bd83df,Azure Pipelines automatically builds and tests code projects to make them available to others. It works with just about any language or project type. Azure Pipelines combines continuous integration (CI) and continuous delivery (CD) to constantly and consistently test and build your code and ship it to any target.,https://azure.microsoft.com/
Microsoft Bing bar,Microsoft,,Bing bar,Commercial-off-the-Shelf (COTS),0968b921-1a1b-11ec-678f-005056bd83df,"Bing Bar is a toolbar for Windows Internet Explorer that integrates with the Microsoft Bing search engine. You can use Bing Bar to search for videos, news, and maps.",https://support.microsoft.com/
Microsoft CRM,Microsoft,Dynamics,CRM,Commercial-off-the-Shelf (COTS),f37d73f0-8777-11e3-74c2-005056975ac8,,https://dynamics.microsoft.com/en-us/crm/what-is-crm/
Microsoft Data Studio,Microsoft,Azure,Data Studio,Commercial-off-the-Shelf (COTS),94469780-b46d-11e9-4383-005056bd33fb,"Azure Data Studio is a cross-platform database tool for data professionals using the Microsoft family of on-premises and cloud data platforms on Windows, MacOS, and Linux.",https://docs.microsoft.com/en-us/sql/azure-data-studio/what-is?view=sql-server-2017
Microsoft Edge,Microsoft,,Edge,Commercial-off-the-Shelf (COTS),14a6e3d1-e29b-11e8-4383-005056bd33fb,Microsoft Web Browser,https://www.microsoft.com/
Microsoft Excel,Microsoft,Office,Excel,Commercial-off-the-Shelf (COTS),707f6ea2-52d8-11e3-74c2-005056975ac8,Spreadsheet application in Microsoft Office,https://www.microsoft.com/
Microsoft Identity Manager (MIM),Microsoft,,Identity Manager (MIM),Commercial-off-the-Shelf (COTS),27433c30-94eb-11e3-74c2-005056975ac8,,https://www.microsoft.com
Microsoft Internet Explorer,Microsoft,,Internet Explorer,Commercial-off-the-Shelf (COTS),d0cb2700-9805-11e3-74c2-005056975ac8,Microsoft Web Browser,https://www.microsoft.com/
Microsoft Office,Microsoft,Office,Office,Commercial-off-the-Shelf (COTS),707f6ea0-52d8-11e3-74c2-005056975ac8,"Suite of Microsoft software including Word, Excel, PowerPoint, Outlook, ect.",https://www.microsoft.com/
Microsoft Open XML SDK,Microsoft,,Open XML SDK,Commercial-off-the-Shelf (COTS),4662e340-10df-11ec-678f-005056bd83df,,https://www.microsoft.com/
